# E_lab [MeV]	Wr	Wi	cross_section [mb]	S_factor [MeV*mb]
0.051033333333333	37.781317539585869	-4.403910908029006	2.161103291921350e-01	3.243370267515500e+02
0.051200000000000	37.362677393488786	-4.359622762769034	2.180204503850841e-01	3.249764762171972e+02
0.051366666666667	36.950444806060067	-4.315991664632423	2.199393003335875e-01	3.256176686162699e+02
0.051533333333333	36.544495397420123	-4.273005080746669	2.218668832848109e-01	3.262606053382888e+02
0.051700000000000	36.144707690978013	-4.230650767368841	2.238032035342564e-01	3.269052877566234e+02
0.051866666666667	35.750963035112159	-4.188916762118804	2.257482654197858e-01	3.275517172206466e+02
0.052033333333333	35.363145525640828	-4.147791376404712	2.277020733332472e-01	3.281998950735872e+02
0.052200000000000	34.981141933121048	-4.107263188148316	2.296646317054335e-01	3.288498226315065e+02
0.052366666666667	34.604841629794414	-4.067321034659216	2.316359450195833e-01	3.295015012037141e+02
0.052533333333333	34.234136521284137	-4.027954005795524	2.336160177963628e-01	3.301549320720946e+02
0.052700000000000	33.868920978042712	-3.989151437266076	2.356048546055416e-01	3.308101165087302e+02
0.052866666666667	33.509091770413269	-3.950902904176943	2.376024600598849e-01	3.314670557680446e+02
0.053033333333333	33.154548005352407	-3.913198214762967	2.396088388122737e-01	3.321257510837328e+02
0.053200000000000	32.805191064984154	-3.876027404304513	2.416239955535375e-01	3.327862036668016e+02
0.053366666666667	32.460924546404709	-3.839380729208539	2.436479350178046e-01	3.334484147139809e+02
0.053533333333333	32.121654203830047	-3.803248661280473	2.456806619811447e-01	3.341123854067067e+02
0.053700000000000	31.787287892618550	-3.767621882169432	2.477221812580481e-01	3.347781169072258e+02
0.053866666666667	31.457735515157593	-3.732491277982586	2.497724976948352e-01	3.354456103507324e+02
0.054033333333333	31.132908966928189	-3.697847934017847	2.518316161824304e-01	3.361148668636505e+02
0.054200000000000	30.812722086313276	-3.663683129710500	2.538995416395264e-01	3.367858875419733e+02
0.054366666666667	30.497090603587936	-3.629988333663003	2.559762790276159e-01	3.374586734724164e+02
0.054533333333333	30.185932093646613	-3.596755198881749	2.580618333341282e-01	3.381332257110140e+02
0.054700000000000	29.879165928046567	-3.563975558093729	2.601562095852113e-01	3.388095453011084e+02
0.054866666666667	29.576713229780167	-3.531641419235616	2.622594128391372e-01	3.394876332656116e+02
0.055033333333333	29.278496829399398	-3.499744961073444	2.643714481785038e-01	3.401674905980040e+02
0.055200000000000	28.984441220999657	-3.468278528908126	2.664923207241750e-01	3.408491182814635e+02
0.055366666666667	28.694472521494759	-3.437234630460257	2.686220356176200e-01	3.415325172671421e+02
0.055533333333333	28.408518428990783	-3.406605931813722	2.707605980358910e-01	3.422176884944673e+02
0.055700000000000	28.126508184320748	-3.376385253529371	2.729080131747694e-01	3.429046328707393e+02
0.055866666666667	27.848372531860913	-3.346565566817658	2.750642862615348e-01	3.435933512884484e+02
0.056033333333333	27.574043682632216	-3.317139989851530	2.772294225483742e-01	3.442838446179530e+02
0.056200000000000	27.303455278526173	-3.288101784184958	2.794034273038460e-01	3.449761136980111e+02
0.056366666666667	27.036542356206506	-3.259444351234211	2.815863058276768e-01	3.456701593552873e+02
0.056533333333333	26.773241313918646	-3.231161228909900	2.837780634320433e-01	3.463659823822855e+02
0.056700000000000	26.513489877403426	-3.203246088291420	2.859787054554163e-01	3.470635835555566e+02
0.056866666666667	26.257227067935802	-3.175692730426071	2.881882372552410e-01	3.477629636277506e+02
0.057033333333333	26.004393171034024	-3.148495083210289	2.904066642042706e-01	3.484641233243257e+02
0.057200000000000	25.754929706012725	-3.121647198355693	2.926339916870831e-01	3.491670633405868e+02
0.057366666666667	25.508779395790876	-3.095143248421818	2.948702251080742e-01	3.498717843524439e+02
0.057533333333333	25.265886138010795	-3.068977523943075	2.971153698903284e-01	3.505782870160506e+02
0.057700000000000	25.026194977631203	-3.043144430652906	2.993694314603284e-01	3.512865719508382e+02
0.057866666666667	24.789652078762509	-3.017638486740778	3.016324152631970e-01	3.519966397587421e+02
0.058033333333333	24.556204698428169	-2.992454320215805	3.039043267543766e-01	3.527084910154524e+02
0.058200000000000	24.325801161011527	-2.967586666340292	3.061851713912622e-01	3.534221262618972e+02
0.058366666666667	24.098390832288680	-2.943030365101302	3.084749546487113e-01	3.541375460234154e+02
0.058533333333333	23.873924095826354	-2.918780358796187	3.107736819983023e-01	3.548547507869175e+02
0.058700000000000	23.652352328352647	-2.894831689635998	3.130813589240783e-01	3.555737410202182e+02
0.058866666666667	23.433627876870462	-2.871179497442747	3.153979909143303e-01	3.562945171636837e+02
0.059033333333333	23.217704036408560	-2.847819017408228	3.177235834521624e-01	3.570170796207774e+02
0.059200000000000	23.004535027249093	-2.824745577880879	3.200581420322427e-01	3.577414287781727e+02
0.059366666666667	22.794075974394980	-2.801954598256306	3.224016721388402e-01	3.584675649821890e+02
0.059533333333333	22.586282885842102	-2.779441586874607	3.247541792654766e-01	3.591954885619927e+02
0.059700000000000	22.381112633174324	-2.757202139021408	3.271156688918660e-01	3.599251998050803e+02
0.059866666666667	22.178522930993655	-2.735231934934141	3.294861465021957e-01	3.606566989787731e+02
0.060033333333333	21.978472318042124	-2.713526737892203	3.318656175747103e-01	3.613899863197971e+02
0.060200000000000	21.780920138727759	-2.692082392354051	3.342540875729299e-01	3.621250620259552e+02
0.060366666666667	21.585826524146516	-2.670894822114620	3.366515619628038e-01	3.628619262760057e+02
0.060533333333333	21.393152375116541	-2.649960028552819	3.390580461895660e-01	3.636005792057213e+02
0.060700000000000	21.202859344006851	-2.629274088877600	3.414735456986727e-01	3.643410209317059e+02
0.060866666666667	21.014909818687519	-2.608833154465225	3.438980659115954e-01	3.650832515265668e+02
0.061033333333333	20.829266905153662	-2.588633449190106	3.463316122498441e-01	3.658272710457754e+02
0.061200000000000	20.645894412583625	-2.568671267853640	3.487741901027270e-01	3.665730794945912e+02
0.061366666666667	20.464756836817684	-2.548942974597840	3.512258048509850e-01	3.673206768544002e+02
0.061533333333333	20.285819345241884	-2.529445001386574	3.536864618625286e-01	3.680700630792428e+02
0.061700000000000	20.109047762503866	-2.510173846537343	3.561561664741794e-01	3.688212380779485e+02
0.061866666666667	19.934408555377538	-2.491126073256063	3.586349240098725e-01	3.695742017343647e+02
0.062033333333333	19.761868818947587	-2.472298308234518	3.611227397705709e-01	3.703289538979857e+02
0.062200000000000	19.591396263112443	-2.453687240281992	3.636196190244633e-01	3.710854943751401e+02
0.062366666666667	19.422959198554073	-2.435289618966375	3.661255670248845e-01	3.718438229485875e+02
0.062533333333333	19.256526524363587	-2.417102253325466	3.686405889864146e-01	3.726039393542775e+02
0.062700000000000	19.092067714575087	-2.399122010570825	3.711646901063511e-01	3.733658433044145e+02
0.062866666666667	18.929552806457629	-2.381345814863304	3.736978755392086e-01	3.741295344628364e+02
0.063033333333333	18.768952387736043	-2.363770646080491	3.762401504166097e-01	3.748950124663181e+02
0.063200000000000	18.610237585041352	-2.346393538639869	3.787915198364921e-01	3.756622769148409e+02
0.063366666666667	18.453380052633142	-2.329211580350214	3.813519888520573e-01	3.764313273618779e+02
0.063533333333333	18.298351960518379	-2.312221911266302	3.839215624919123e-01	3.772021633355946e+02
0.063700000000000	18.145125984156361	-2.295421722607533	3.865002457340130e-01	3.779747843142799e+02
0.063866666666667	17.993675293064184	-2.278808255664897	3.890880435283002e-01	3.787491897498509e+02
0.064033333333333	17.843973541030657	-2.262378800771473	3.916849607705002e-01	3.795253790433896e+02
0.064200000000000	17.695994855318866	-2.246130696262568	3.942910023222029e-01	3.803033515659829e+02
0.064366666666667	17.549713826950563	-2.230061327483897	3.969061730003577e-01	3.810831066496281e+02
0.064533333333333	17.405105501251877	-2.214168125823949	3.995304775650142e-01	3.818646435767045e+02
0.064700000000000	17.262145367765239	-2.198448567745383	4.021639207409301e-01	3.826479616019514e+02
0.064866666666667	17.120809351486293	-2.182900173869648	4.048065071964943e-01	3.834330599334189e+02
0.065033333333333	16.981073803903879	-2.167520508071804	4.074582415381196e-01	3.842199377285150e+02
0.065200000000000	16.842915493441257	-2.152307176574089	4.101191283384632e-01	3.850085941219103e+02
0.065366666666667	16.706311597717319	-2.137257827105118	4.127891720986564e-01	3.857990281910234e+02
0.065533333333333	16.571239694417686	-2.122370148034945	4.154683772761645e-01	3.865912389834829e+02
0.065700000000000	16.437677753714623	-2.107641867567513	4.181567482560474e-01	3.873852254914306e+02
0.065866666666667	16.305604129591069	-2.093070752916257	4.208542893771090e-01	3.881809866771211e+02
0.066033333333333	16.174997552655007	-2.078654609534873	4.235610049017478e-01	3.889785214461475e+02
0.066200000000000	16.045837121918370	-2.064391280332167	4.262768990390210e-01	3.897778286700184e+02
0.066366666666667	15.918102297562771	-2.050278644927266	4.290019759323458e-01	3.905789071759490e+02
0.066533333333333	15.791772893861192	-2.036314618921644	4.317362396470655e-01	3.913817557367916e+02
