# E_lab [MeV]	Wr	Wi	cross_section [mb]	S_factor [MeV*mb]
0.207366666666667	0.317448221098702	-0.185338858103863	2.165210058630158e+00	5.821298322805189e+02
0.207533333333333	0.316097284828816	-0.185099982134321	2.162725337768761e+00	5.812113491127702e+02
0.207700000000000	0.314750478429376	-0.184861687857370	2.160238863413018e+00	5.802935661361467e+02
0.207866666666667	0.313407786392319	-0.184623973274266	2.157750681744156e+00	5.793764924998233e+02
0.208033333333333	0.312069193302790	-0.184386836395639	2.155260838630641e+00	5.784601372603158e+02
0.208200000000000	0.310734683774740	-0.184150275239666	2.152769379671635e+00	5.775445093933816e+02
0.208366666666667	0.309404242528467	-0.183914287834185	2.150276350145409e+00	5.766296177804057e+02
0.208533333333333	0.308077854326560	-0.183678872214887	2.147781795052423e+00	5.757154712201950e+02
0.208700000000000	0.306755504029229	-0.183444026426813	2.145285759079131e+00	5.748020784194973e+02
0.208866666666667	0.305437176539418	-0.183209748522794	2.142788286634435e+00	5.738894480030064e+02
0.209033333333333	0.304122856855378	-0.182976036564880	2.140289421815828e+00	5.729775885045130e+02
0.209200000000000	0.302812530026087	-0.182742888623070	2.137789208438837e+00	5.720665083750183e+02
0.209366666666667	0.301506181167251	-0.182510302775715	2.135287690026948e+00	5.711562159802549e+02
0.209533333333333	0.300203795484249	-0.182278277110124	2.132784909797605e+00	5.702467195971635e+02
0.209700000000000	0.298905358222168	-0.182046809721146	2.130280910694444e+00	5.693380274227336e+02
0.209866666666667	0.297610854721498	-0.181815898712677	2.127775735352545e+00	5.684301475649291e+02
0.210033333333333	0.296320270361866	-0.181585542196074	2.125269426134390e+00	5.675230880525140e+02
0.210200000000000	0.295033590617871	-0.181355738291660	2.122762025095474e+00	5.666168568260758e+02
0.210366666666667	0.293750801009310	-0.181126485127318	2.120253574015827e+00	5.657114617466589e+02
0.210533333333333	0.292471887122027	-0.180897780839035	2.117744114387570e+00	5.648069105926462e+02
0.210700000000000	0.291196834627983	-0.180669623571424	2.115233687403333e+00	5.639032110568788e+02
0.210866666666667	0.289925629237369	-0.180442011476366	2.112722333985989e+00	5.630003707547938e+02
0.211033333333333	0.288658256752493	-0.180214942714470	2.110210094756663e+00	5.620983972160950e+02
0.211200000000000	0.287394703019474	-0.179988415453704	2.107697010064420e+00	5.611972978928704e+02
0.211366666666667	0.286134953949140	-0.179762427869944	2.105183119974278e+00	5.602970801565941e+02
0.211533333333333	0.284878995536301	-0.179536978147468	2.102668464256578e+00	5.593977512954966e+02
0.211700000000000	0.283626813812244	-0.179312064477620	2.100153082415577e+00	5.584993185223721e+02
0.211866666666667	0.282378394884766	-0.179087685059881	2.097637013666593e+00	5.576017889686873e+02
0.212033333333333	0.281133724938675	-0.178863838101849	2.095120296936614e+00	5.567051696849429e+02
0.212200000000000	0.279892790207103	-0.178640521818423	2.092602970881600e+00	5.558094676454617e+02
0.212366666666667	0.278655576978884	-0.178417734431969	2.090085073882735e+00	5.549146897475796e+02
0.212533333333333	0.277422071604811	-0.178195474172467	2.087566644043534e+00	5.540208428110626e+02
0.212700000000000	0.276192260516801	-0.177973739278008	2.085047719179921e+00	5.531279335756606e+02
0.212866666666667	0.274966130182209	-0.177752527993502	2.082528336846563e+00	5.522359687082804e+02
0.213033333333333	0.273743667154791	-0.177531838572058	2.080008534309217e+00	5.513449547958292e+02
0.213200000000000	0.272524858029496	-0.177311669273700	2.077488348570563e+00	5.504548983522481e+02
0.213366666666667	0.271309689461527	-0.177092018365871	2.074967816360317e+00	5.495658058160657e+02
0.213533333333333	0.270098148185514	-0.176872884123930	2.072446974125754e+00	5.486776835480663e+02
0.213700000000000	0.268890220969339	-0.176654264829845	2.069925858057438e+00	5.477905378382797e+02
0.213866666666667	0.267685894666307	-0.176436158773606	2.067404504061930e+00	5.469043748989269e+02
0.214033333333333	0.266485156163288	-0.176218564251771	2.064882947790385e+00	5.460192008721623e+02
0.214200000000000	0.265287992430574	-0.176001479568804	2.062361224612833e+00	5.451350218234366e+02
0.214366666666667	0.264094390478019	-0.175784903035839	2.059839369642213e+00	5.442518437480233e+02
0.214533333333333	0.262904337373501	-0.175568832971165	2.057317417725378e+00	5.433696725688051e+02
0.214700000000000	0.261717820261333	-0.175353267700700	2.054795403434520e+00	5.424885141341731e+02
0.214866666666667	0.260534826318527	-0.175138205556761	2.052273361090566e+00	5.416083742243709e+02
0.215033333333333	0.259355342803664	-0.174923644879383	2.049751324738987e+00	5.407292585452680e+02
0.215200000000000	0.258179357007275	-0.174709584014921	2.047229328175889e+00	5.398511727354053e+02
0.215366666666667	0.257006856301888	-0.174496021317403	2.044707404923643e+00	5.389741223597243e+02
0.215533333333333	0.255837828096099	-0.174282955147240	2.042185588254836e+00	5.380981129160411e+02
0.215700000000000	0.254672259855726	-0.174070383871776	2.039663911182444e+00	5.372231498326073e+02
0.215866666666667	0.253510139107449	-0.173858305865367	2.037142406459025e+00	5.363492384680527e+02
0.216033333333333	0.252351453447177	-0.173646719509579	2.034621106573673e+00	5.354763841107356e+02
0.216200000000000	0.251196190511563	-0.173435623192384	2.032100043766813e+00	5.346045919827897e+02
0.216366666666667	0.250044337987024	-0.173225015308372	2.029579250026531e+00	5.337338672393048e+02
0.216533333333333	0.248895883612922	-0.173014894258822	2.027058757087981e+00	5.328642149683149e+02
0.216700000000000	0.247750815203660	-0.172805258452279	2.024538596423950e+00	5.319956401884666e+02
0.216866666666667	0.246609120599918	-0.172596106303185	2.022018799268749e+00	5.311281478554421e+02
0.217033333333333	0.245470787723371	-0.172387436233359	2.019499396593512e+00	5.302617428556105e+02
0.217200000000000	0.244335804521886	-0.172179246670467	2.016980419132647e+00	5.293964300131178e+02
0.217366666666667	0.243204159023110	-0.171971536049469	2.014461897360077e+00	5.285322140837853e+02
0.217533333333333	0.242075839287702	-0.171764302811304	2.011943861511602e+00	5.276690997611210e+02
0.217700000000000	0.240950833428359	-0.171557545403389	2.009426341577103e+00	5.268070916744059e+02
0.217866666666667	0.239829129629562	-0.171351262280142	2.006909367292781e+00	5.259461943867951e+02
0.218033333333333	0.238710716102391	-0.171145451901707	2.004392968162230e+00	5.250864124009782e+02
0.218200000000000	0.237595581134626	-0.170940112735311	2.001877173435244e+00	5.242277501537540e+02
0.218366666666667	0.236483713046620	-0.170735243254027	1.999362012128255e+00	5.233702120215172e+02
0.218533333333333	0.235375100209078	-0.170530841937231	1.996847513017331e+00	5.225138023185523e+02
0.218700000000000	0.234269731063827	-0.170326907271159	1.994333704630454e+00	5.216585252951409e+02
0.218866666666667	0.233167594076665	-0.170123437747580	1.991820615268608e+00	5.208043851432056e+02
0.219033333333333	0.232068677790248	-0.169920431865226	1.989308272984310e+00	5.199513859908193e+02
0.219200000000000	0.230972970770481	-0.169717888128293	1.986796705605209e+00	5.190995319084989e+02
0.219366666666667	0.229880461659720	-0.169515805047888	1.984285940712856e+00	5.182488269037782e+02
0.219533333333333	0.228791139129929	-0.169314181140705	1.981776005663171e+00	5.173992749266772e+02
0.219700000000000	0.227704991902269	-0.169113014929548	1.979266927579245e+00	5.165508798679387e+02
0.219866666666667	0.226622008754278	-0.168912304943504	1.976758733349516e+00	5.157036455586707e+02
0.220033333333333	0.225542178524306	-0.168712049718041	1.974251449627086e+00	5.148575757702870e+02
0.220200000000000	0.224465490086090	-0.168512247794284	1.971745102840999e+00	5.140126742175642e+02
0.220366666666667	0.223391932349488	-0.168312897719012	1.969239719196715e+00	5.131689445588769e+02
0.220533333333333	0.222321494297397	-0.168113998045657	1.966735324662729e+00	5.123263903928227e+02
0.220700000000000	0.221254164942219	-0.167915547333071	1.964231944988616e+00	5.114850152630369e+02
0.220866666666667	0.220189933342633	-0.167717544145979	1.961729605699466e+00	5.106448226568505e+02
0.221033333333333	0.219128788624075	-0.167519987055509	1.959228332089141e+00	5.098058160036447e+02
0.221200000000000	0.218070719934406	-0.167322874637955	1.956728149238187e+00	5.089679986796204e+02
0.221366666666667	0.217015716492368	-0.167126205476087	1.954229081996576e+00	5.081313740034126e+02
0.221533333333333	0.215963767545388	-0.166929978157970	1.951731155000572e+00	5.072959452405846e+02
0.221700000000000	0.214914862386153	-0.166734191277390	1.949234392667433e+00	5.064617156023504e+02
0.221866666666667	0.213868990373190	-0.166538843434410	1.946738819189141e+00	5.056286882440493e+02
0.222033333333333	0.212826140885031	-0.166343933234076	1.944244458549978e+00	5.047968662698135e+02
0.222200000000000	0.211786303371578	-0.166149459287820	1.941751334509119e+00	5.039662527281464e+02
0.222366666666667	0.210749467302493	-0.165955420212007	1.939259470620080e+00	5.031368506170711e+02
0.222533333333333	0.209715622217758	-0.165761814629309	1.936768890213866e+00	5.023086628798520e+02
0.222700000000000	0.208684757683314	-0.165568641167470	1.934279616415660e+00	5.014816924094237e+02
0.222866666666667	0.207656863309856	-0.165375898459789	1.931791672139145e+00	5.006559420470109e+02
0.223033333333333	0.206631928772004	-0.165183585145641	1.929305080081175e+00	4.998314145808403e+02
0.223200000000000	0.205609943761918	-0.164991699869165	1.926819862738487e+00	4.990081127505674e+02
0.223366666666667	0.204590898042605	-0.164800241280722	1.924336042390852e+00	4.981860392429992e+02
0.223533333333333	0.203574781394403	-0.164609208035395	1.921853641119973e+00	4.973651966970804e+02
0.223700000000000	0.202561583666863	-0.164418598794397	1.919372680793352e+00	4.965455876998060e+02
0.223866666666667	0.201551294722059	-0.164228412223495	1.916893183083923e+00	4.957272147913891e+02
0.224033333333333	0.200543904501628	-0.164038646994828	1.914415169449337e+00	4.949100804599889e+02
0.224200000000000	0.199539402971368	-0.163849301785368	1.911938661151010e+00	4.940941871467239e+02
0.224366666666667	0.198537780128403	-0.163660375277089	1.909463679252618e+00	4.932795372453664e+02
0.224533333333333	0.197539026036087	-0.163471866157919	1.906990244610280e+00	4.924661330998875e+02
0.224700000000000	0.196543130782266	-0.163283773120563	1.904518377886679e+00	4.916539770081898e+02
0.224866666666667	0.195550084496073	-0.163096094862946	1.902048099546753e+00	4.908430712210740e+02
0.225033333333333	0.194559877367098	-0.162908830088724	1.899579429853053e+00	4.900334179411219e+02
0.225200000000000	0.193572499601661	-0.162721977506062	1.897112388879980e+00	4.892250193264488e+02
0.225366666666667	0.192587941473436	-0.162535535829004	1.894646996499674e+00	4.884178774871422e+02
0.225533333333333	0.191606193271293	-0.162349503776017	1.892183272398514e+00	4.876119944895937e+02
0.225700000000000	0.190627245349690	-0.162163880071365	1.889721236063390e+00	4.868073723530348e+02
0.225866666666667	0.189651088085800	-0.161978663443905	1.887260906795258e+00	4.860040130531072e+02
0.226033333333333	0.188677711897864	-0.161793852627575	1.884802303704753e+00	4.852019185208042e+02
0.226200000000000	0.187707107261653	-0.161609446361827	1.882345445708724e+00	4.844010906416528e+02
0.226366666666667	0.186739264669929	-0.161425443390493	1.879890351542619e+00	4.836015312589737e+02
0.226533333333333	0.185774174678690	-0.161241842463041	1.877437039748661e+00	4.828032421709088e+02
